tab	locations
location	age	age_sigma	age_unit	lat_n	lat_s	lon_e	lon_w	geologic_classes	lithologies	location_type	citations
ECMB	1779	3	Ma	45.53728	45.51387	265.76964	265.7369	Intrusive	Diabase	Region	This study
>>>>>>>>>>
tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
NED12-1b_LP-DIR-AF-1	NED12-1b_LP-DIR-AF	NED12-1b	3.9	82.8	84.9	0	0	0	0	0	273	This study	hargrave 2018-10-13 20:48:41	LT-NO:LP-DIR-AF	g	1	u	4	273	pmagpy-4.2.28	2.66e-06	1.23e-07	1.32e-07	3.25e-08
NED12-1b_LP-DIR-AF-2	NED12-1b_LP-DIR-AF	NED12-1b	3.8	86.8	84.8	0.001	0	0	0	1	273	This study	hargrave 2018-10-13 20:50:06	LT-AF-Z:LP-DIR-AF	g	2	u	4	273	pmagpy-4.2.28	2.66e-06	1.2e-07	1.29e-07	3.21e-08
NED12-1b_LP-DIR-AF-3	NED12-1b_LP-DIR-AF	NED12-1b	3.8	87.7	85.4	0.002	0	0	0	2	273	This study	hargrave 2018-10-13 20:51:28	LT-AF-Z:LP-DIR-AF	g	3	u	4	273	pmagpy-4.2.28	2.64e-06	1.2099999999999998e-07	1.27e-07	3.21e-08
NED12-1b_LP-DIR-AF-4	NED12-1b_LP-DIR-AF	NED12-1b	3.8	90.2	86.3	0.003	0	0	0	3	273	This study	hargrave 2018-10-13 20:52:53	LT-AF-Z:LP-DIR-AF	g	4	u	4	273	pmagpy-4.2.28	2.6e-06	1.19e-07	1.25e-07	3.23e-08
NED12-1b_LP-DIR-AF-5	NED12-1b_LP-DIR-AF	NED12-1b	3.8	98.8	87.7	0.004	0	0	0	4	273	This study	hargrave 2018-10-13 20:54:18	LT-AF-Z:LP-DIR-AF	g	5	u	4	273	pmagpy-4.2.28	2.53e-06	1.17e-07	1.2099999999999998e-07	3.27e-08
NED12-1b_LP-DIR-AF-6	NED12-1b_LP-DIR-AF	NED12-1b	3.8	124.9	88.8	0.005	0	0	0	5	273	This study	hargrave 2018-10-13 20:55:40	LT-AF-Z:LP-DIR-AF	g	6	u	4	273	pmagpy-4.2.28	2.46e-06	1.15e-07	1.18e-07	3.32e-08
NED12-1b_LP-DIR-AF-7	NED12-1b_LP-DIR-AF	NED12-1b	3.9	241.0	86.7	0.0075	0	0	0	6	273	This study	hargrave 2018-10-13 20:57:01	LT-AF-Z:LP-DIR-AF	g	7	u	4	273	pmagpy-4.2.28	2.28e-06	1.09e-07	1.07e-07	3.48e-08
NED12-1b_LP-DIR-AF-8	NED12-1b_LP-DIR-AF	NED12-1b	3.9	248.3	84.1	0.01	0	0	0	7	273	This study	hargrave 2018-10-13 20:58:23	LT-AF-Z:LP-DIR-AF	g	8	u	4	273	pmagpy-4.2.28	2.17e-06	1.05e-07	1.01e-07	3.5699999999999995e-08
NED12-1b_LP-DIR-AF-9	NED12-1b_LP-DIR-AF	NED12-1b	3.9	250.6	83.2	0.0125	0	0	0	8	273	This study	hargrave 2018-10-13 21:01:31	LT-AF-Z:LP-DIR-AF	g	9	u	4	273	pmagpy-4.2.28	2.12e-06	1.03e-07	9.83e-08	3.63e-08
NED12-1b_LP-DIR-AF-10	NED12-1b_LP-DIR-AF	NED12-1b	3.9	252.4	82.9	0.015	0	0	0	9	273	This study	hargrave 2018-10-13 21:02:52	LT-AF-Z:LP-DIR-AF	g	10	u	4	273	pmagpy-4.2.28	2.08e-06	1.01e-07	9.59e-08	3.52e-08
NED12-1b_LP-DIR-AF-11	NED12-1b_LP-DIR-AF	NED12-1b	3.9	255.6	83.1	0.0175	0	0	0	10	273	This study	hargrave 2018-10-13 21:04:20	LT-AF-Z:LP-DIR-AF	g	11	u	4	273	pmagpy-4.2.28	2.03e-06	9.78e-08	9.28e-08	3.4e-08
NED12-1b_LP-DIR-AF-12	NED12-1b_LP-DIR-AF	NED12-1b	3.9	262.5	83.6	0.02	0	0	0	11	273	This study	hargrave 2018-10-13 21:05:41	LT-AF-Z:LP-DIR-AF	g	12	u	4	273	pmagpy-4.2.28	1.96e-06	9.51e-08	9e-08	3.14e-08
NED12-1b_LP-DIR-AF-13	NED12-1b_LP-DIR-AF	NED12-1b	3.8	274.4	84.4	0.0225	0	0	0	12	273	This study	hargrave 2018-10-13 21:07:03	LT-AF-Z:LP-DIR-AF	g	13	u	4	273	pmagpy-4.2.28	1.86e-06	9.05e-08	8.529999999999999e-08	2.88e-08
NED12-1b_LP-DIR-AF-14	NED12-1b_LP-DIR-AF	NED12-1b	3.8	294.0	84.9	0.025	0	0	0	13	273	This study	hargrave 2018-10-13 21:08:24	LT-AF-Z:LP-DIR-AF	g	14	u	4	273	pmagpy-4.2.28	1.76e-06	8.59e-08	8.08e-08	2.49e-08
NED12-1b_LP-DIR-AF-15	NED12-1b_LP-DIR-AF	NED12-1b	3.8	318.7	84.6	0.0275	0	0	0	14	273	This study	hargrave 2018-10-13 21:09:45	LT-AF-Z:LP-DIR-AF	g	15	u	4	273	pmagpy-4.2.28	1.65e-06	8.01e-08	7.53e-08	2.2200000000000004e-08
NED12-1b_LP-DIR-AF-16	NED12-1b_LP-DIR-AF	NED12-1b	3.8	340.1	83.3	0.03	0	0	0	15	273	This study	hargrave 2018-10-13 21:11:06	LT-AF-Z:LP-DIR-AF	g	16	u	4	273	pmagpy-4.2.28	1.54e-06	7.45e-08	7e-08	1.75e-08
NED12-1b_LP-DIR-AF-17	NED12-1b_LP-DIR-AF	NED12-1b	3.7	0.8	79.6	0.035	0	0	0	16	273	This study	hargrave 2018-10-13 21:12:32	LT-AF-Z:LP-DIR-AF	g	17	u	4	273	pmagpy-4.2.28	1.37e-06	6.580000000000001e-08	6.14e-08	1.21e-08
NED12-1b_LP-DIR-AF-18	NED12-1b_LP-DIR-AF	NED12-1b	3.6	8.8	75.6	0.04	0	0	0	17	273	This study	hargrave 2018-10-13 21:13:54	LT-AF-Z:LP-DIR-AF	g	18	u	4	273	pmagpy-4.2.28	1.24e-06	5.900000000000001e-08	5.47e-08	8.14e-09
NED12-1b_LP-DIR-AF-19	NED12-1b_LP-DIR-AF	NED12-1b	3.6	13.0	72.2	0.045	0	0	0	18	273	This study	hargrave 2018-10-13 21:15:19	LT-AF-Z:LP-DIR-AF	g	19	u	4	273	pmagpy-4.2.28	1.16e-06	5.29e-08	5.18e-08	6.559999999999999e-09
NED12-1b_LP-DIR-AF-20	NED12-1b_LP-DIR-AF	NED12-1b	3.5	15.0	69.3	0.05	0	0	0	19	273	This study	hargrave 2018-10-13 21:16:40	LT-AF-Z:LP-DIR-AF	g	20	u	4	273	pmagpy-4.2.28	1.09e-06	4.98e-08	4.5700000000000006e-08	6.18e-09
NED12-1b_LP-DIR-AF-21	NED12-1b_LP-DIR-AF	NED12-1b	3.4	16.1	67	0.055	0	0	0	20	273	This study	hargrave 2018-10-13 21:18:01	LT-AF-Z:LP-DIR-AF	g	21	u	4	273	pmagpy-4.2.28	1.03e-06	4.64e-08	4.3e-08	5.93e-09
NED12-1b_LP-DIR-AF-22	NED12-1b_LP-DIR-AF	NED12-1b	3.4	16.6	65.5	0.06	0	0	0	21	273	This study	hargrave 2018-10-13 21:19:22	LT-AF-Z:LP-DIR-AF	g	22	u	4	273	pmagpy-4.2.28	9.88e-07	4.39e-08	4.08e-08	6.15e-09
NED12-1b_LP-DIR-AF-23	NED12-1b_LP-DIR-AF	NED12-1b	3.3	17.2	64.4	0.065	0	0	0	22	273	This study	hargrave 2018-10-13 21:20:43	LT-AF-Z:LP-DIR-AF	g	23	u	4	273	pmagpy-4.2.28	9.5e-07	4.17e-08	3.88e-08	6.09e-09
NED12-1b_LP-DIR-AF-24	NED12-1b_LP-DIR-AF	NED12-1b	3.3	17.1	63.3	0.07	0	0	0	23	273	This study	hargrave 2018-10-13 21:22:05	LT-AF-Z:LP-DIR-AF	g	24	u	4	273	pmagpy-4.2.28	9.17e-07	3.98e-08	3.7e-08	6.65e-09
NED12-1b_LP-DIR-AF-25	NED12-1b_LP-DIR-AF	NED12-1b	3.3	17.5	62.8	0.075	0	0	0	24	273	This study	hargrave 2018-10-13 21:23:26	LT-AF-Z:LP-DIR-AF	g	25	u	4	273	pmagpy-4.2.28	8.87e-07	3.84e-08	3.55e-08	6.65e-09
NED12-1b_LP-DIR-AF-26	NED12-1b_LP-DIR-AF	NED12-1b	3.4	16.9	62.4	0.08	0	0	0	25	273	This study	hargrave 2018-10-13 21:24:55	LT-AF-Z:LP-DIR-AF	g	26	u	4	273	pmagpy-4.2.28	8.57e-07	3.72e-08	3.68e-08	6.74e-09
NED12-1b_LP-DIR-AF-27	NED12-1b_LP-DIR-AF	NED12-1b	3.3	16.7	61.6	0.09	0	0	0	26	273	This study	hargrave 2018-10-13 21:26:17	LT-AF-Z:LP-DIR-AF	g	27	u	4	273	pmagpy-4.2.28	8.04e-07	3.48e-08	3.21e-08	6.63e-09
NED12-1b_LP-DIR-AF-28	NED12-1b_LP-DIR-AF	NED12-1b	3.2	16.2	61.3	0.1	0	0	0	27	273	This study	hargrave 2018-10-13 21:27:38	LT-AF-Z:LP-DIR-AF	g	28	u	4	273	pmagpy-4.2.28	7.58e-07	3.25e-08	2.97e-08	6.5e-09
NED12-1b_LP-DIR-AF-29	NED12-1b_LP-DIR-AF	NED12-1b	3.3	16.5	61.2	0.11	0	0	0	28	273	This study	hargrave 2018-10-13 21:29:01	LT-AF-Z:LP-DIR-AF	g	29	u	4	273	pmagpy-4.2.28	7.09e-07	3.06e-08	2.83e-08	6.1e-09
NED12-1b_LP-DIR-AF-30	NED12-1b_LP-DIR-AF	NED12-1b	3.2	16.1	60.8	0.12	0	0	0	29	273	This study	hargrave 2018-10-13 21:30:23	LT-AF-Z:LP-DIR-AF	g	30	u	4	273	pmagpy-4.2.28	6.620000000000001e-07	2.83e-08	2.59e-08	5.85e-09
NED12-1b_LP-DIR-AF-31	NED12-1b_LP-DIR-AF	NED12-1b	3.3	14.8	60.7	0.13	0	0	0	30	273	This study	hargrave 2018-10-13 21:31:48	LT-AF-Z:LP-DIR-AF	g	31	u	4	273	pmagpy-4.2.28	6.12e-07	2.66e-08	2.45e-08	5.660000000000001e-09
NED12-2b_LP-DIR-AF-32	NED12-2b_LP-DIR-AF	NED12-2b	3.2	199.2	27.3	0	0	0	0	0	273	This study	hargrave 2018-10-13 21:33:24	LT-NO:LP-DIR-AF	g	32	u	4	273	pmagpy-4.2.28	2.62e-06	5.48e-08	9.14e-08	1.01e-07
NED12-2b_LP-DIR-AF-33	NED12-2b_LP-DIR-AF	NED12-2b	3	229.9	26.2	0.001	0	0	0	1	273	This study	hargrave 2018-10-13 21:34:45	LT-AF-Z:LP-DIR-AF	g	33	u	4	273	pmagpy-4.2.28	2.62e-06	9.52e-08	5.17e-08	8.71e-08
NED12-2b_LP-DIR-AF-34	NED12-2b_LP-DIR-AF	NED12-2b	3	229.6	26.1	0.002	0	0	0	2	273	This study	hargrave 2018-10-13 21:37:02	LT-AF-Z:LP-DIR-AF	g	34	u	4	273	pmagpy-4.2.28	2.6e-06	9.39e-08	4.98e-08	8.71e-08
NED12-2b_LP-DIR-AF-35	NED12-2b_LP-DIR-AF	NED12-2b	3	228.7	25.9	0.003	0	0	0	3	273	This study	hargrave 2018-10-13 21:38:30	LT-AF-Z:LP-DIR-AF	g	35	u	4	273	pmagpy-4.2.28	2.57e-06	9.5e-08	4.45e-08	8.54e-08
NED12-2b_LP-DIR-AF-36	NED12-2b_LP-DIR-AF	NED12-2b	3.1	227.8	25.6	0.004	0	0	0	4	273	This study	hargrave 2018-10-13 21:39:55	LT-AF-Z:LP-DIR-AF	g	36	u	4	273	pmagpy-4.2.28	2.51e-06	9.67e-08	4.69e-08	8.380000000000001e-08
NED12-2b_LP-DIR-AF-37	NED12-2b_LP-DIR-AF	NED12-2b	3	226.9	25.3	0.005	0	0	0	5	273	This study	hargrave 2018-10-13 21:41:16	LT-AF-Z:LP-DIR-AF	g	37	u	4	273	pmagpy-4.2.28	2.46e-06	8.660000000000001e-08	4.85e-08	8.23e-08
NED12-2b_LP-DIR-AF-38	NED12-2b_LP-DIR-AF	NED12-2b	3	223.8	24.3	0.0075	0	0	0	6	273	This study	hargrave 2018-10-13 21:43:34	LT-AF-Z:LP-DIR-AF	g	38	u	4	273	pmagpy-4.2.28	2.3e-06	7.96e-08	4.62e-08	7.74e-08
NED12-2b_LP-DIR-AF-39	NED12-2b_LP-DIR-AF	NED12-2b	2.9	221.7	23.3	0.01	0	0	0	7	273	This study	hargrave 2018-10-13 21:44:55	LT-AF-Z:LP-DIR-AF	g	39	u	4	273	pmagpy-4.2.28	2.21e-06	7.24e-08	4.47e-08	7.36e-08
NED12-2b_LP-DIR-AF-40	NED12-2b_LP-DIR-AF	NED12-2b	2.9	221.1	22.8	0.0125	0	0	0	8	273	This study	hargrave 2018-10-13 21:46:16	LT-AF-Z:LP-DIR-AF	g	40	u	4	273	pmagpy-4.2.28	2.17e-06	7.1e-08	4.45e-08	7.26e-08
NED12-2b_LP-DIR-AF-41	NED12-2b_LP-DIR-AF	NED12-2b	2.9	220.9	22.5	0.015	0	0	0	9	273	This study	hargrave 2018-10-13 21:47:44	LT-AF-Z:LP-DIR-AF	g	41	u	4	273	pmagpy-4.2.28	2.14e-06	7.36e-08	3.99e-08	7.1e-08
NED12-2b_LP-DIR-AF-42	NED12-2b_LP-DIR-AF	NED12-2b	2.9	221.5	22.2	0.0175	0	0	0	10	273	This study	hargrave 2018-10-13 21:49:05	LT-AF-Z:LP-DIR-AF	g	42	u	4	273	pmagpy-4.2.28	2.1000000000000002e-06	6.83e-08	4.13e-08	7.05e-08
NED12-2b_LP-DIR-AF-43	NED12-2b_LP-DIR-AF	NED12-2b	2.8	222.1	21.9	0.02	0	0	0	11	273	This study	hargrave 2018-10-13 21:50:27	LT-AF-Z:LP-DIR-AF	g	43	u	4	273	pmagpy-4.2.28	2.05e-06	6.49e-08	3.9e-08	6.88e-08
NED12-2b_LP-DIR-AF-44	NED12-2b_LP-DIR-AF	NED12-2b	2.8	223.4	21.3	0.0225	0	0	0	12	273	This study	hargrave 2018-10-13 21:51:48	LT-AF-Z:LP-DIR-AF	g	44	u	4	273	pmagpy-4.2.28	1.98e-06	6.37e-08	3.59e-08	6.690000000000001e-08
NED12-2b_LP-DIR-AF-45	NED12-2b_LP-DIR-AF	NED12-2b	2.8	224.7	20.5	0.025	0	0	0	13	273	This study	hargrave 2018-10-13 21:53:09	LT-AF-Z:LP-DIR-AF	g	45	u	4	273	pmagpy-4.2.28	1.89e-06	5.95e-08	3.39e-08	6.46e-08
NED12-2b_LP-DIR-AF-46	NED12-2b_LP-DIR-AF	NED12-2b	2.8	225.8	19.3	0.0275	0	0	0	14	273	This study	hargrave 2018-10-13 21:54:37	LT-AF-Z:LP-DIR-AF	g	46	u	4	273	pmagpy-4.2.28	1.8000000000000001e-06	5.94e-08	2.74e-08	6.16e-08
NED12-2b_LP-DIR-AF-47	NED12-2b_LP-DIR-AF	NED12-2b	3	227.8	18.1	0.03	0	0	0	15	273	This study	hargrave 2018-10-13 21:56:02	LT-AF-Z:LP-DIR-AF	g	47	u	4	273	pmagpy-4.2.28	1.71e-06	6.01e-08	2.84e-08	5.92e-08
NED12-2b_LP-DIR-AF-48	NED12-2b_LP-DIR-AF	NED12-2b	2.9	231.2	15.4	0.035	0	0	0	16	273	This study	hargrave 2018-10-13 21:57:27	LT-AF-Z:LP-DIR-AF	g	48	u	4	273	pmagpy-4.2.28	1.55e-06	5.38e-08	2.3e-08	5.44e-08
NED12-2b_LP-DIR-AF-49	NED12-2b_LP-DIR-AF	NED12-2b	2.7	234.2	12.7	0.04	0	0	0	17	273	This study	hargrave 2018-10-13 21:58:55	LT-AF-Z:LP-DIR-AF	g	49	u	4	273	pmagpy-4.2.28	1.43e-06	4.24e-08	1.44e-08	5.06e-08
NED12-2b_LP-DIR-AF-50	NED12-2b_LP-DIR-AF	NED12-2b	2.6	237.0	10.2	0.045	0	0	0	18	273	This study	hargrave 2018-10-13 22:00:23	LT-AF-Z:LP-DIR-AF	g	50	u	4	273	pmagpy-4.2.28	1.32e-06	3.79e-08	1.2e-08	4.72e-08
NED12-2b_LP-DIR-AF-51	NED12-2b_LP-DIR-AF	NED12-2b	2.6	239.5	8	0.05	0	0	0	19	273	This study	hargrave 2018-10-13 22:01:44	LT-AF-Z:LP-DIR-AF	g	51	u	4	273	pmagpy-4.2.28	1.24e-06	3.54e-08	1.08e-08	4.46e-08
NED12-2b_LP-DIR-AF-52	NED12-2b_LP-DIR-AF	NED12-2b	2.6	241.0	6.3	0.055	0	0	0	20	273	This study	hargrave 2018-10-13 22:03:05	LT-AF-Z:LP-DIR-AF	g	52	u	4	273	pmagpy-4.2.28	1.18e-06	3.15e-08	8.3e-09	4.24e-08
NED12-2b_LP-DIR-AF-53	NED12-2b_LP-DIR-AF	NED12-2b	2.6	242.4	5.3	0.06	0	0	0	21	273	This study	hargrave 2018-10-13 22:04:26	LT-AF-Z:LP-DIR-AF	g	53	u	4	273	pmagpy-4.2.28	1.13e-06	3.1e-08	8.14e-09	4.07e-08
NED12-2b_LP-DIR-AF-54	NED12-2b_LP-DIR-AF	NED12-2b	2.5	243.4	4.3	0.065	0	0	0	22	273	This study	hargrave 2018-10-13 22:05:47	LT-AF-Z:LP-DIR-AF	g	54	u	4	273	pmagpy-4.2.28	1.09e-06	2.88e-08	7.249999999999999e-09	3.92e-08
NED12-2b_LP-DIR-AF-55	NED12-2b_LP-DIR-AF	NED12-2b	2.5	243.6	3.6	0.07	0	0	0	23	273	This study	hargrave 2018-10-13 22:07:19	LT-AF-Z:LP-DIR-AF	g	55	u	4	273	pmagpy-4.2.28	1.05e-06	2.62e-08	9.29e-09	3.77e-08
NED12-2b_LP-DIR-AF-56	NED12-2b_LP-DIR-AF	NED12-2b	2.5	244.4	3.1	0.075	0	0	0	24	273	This study	hargrave 2018-10-13 22:08:40	LT-AF-Z:LP-DIR-AF	g	56	u	4	273	pmagpy-4.2.28	1.02e-06	2.6e-08	6.47e-09	3.66e-08
NED12-2b_LP-DIR-AF-57	NED12-2b_LP-DIR-AF	NED12-2b	2.5	244.7	2.7	0.08	0	0	0	25	273	This study	hargrave 2018-10-13 22:10:01	LT-AF-Z:LP-DIR-AF	g	57	u	4	273	pmagpy-4.2.28	9.83e-07	2.35e-08	6.33e-09	3.55e-08
